TestId,Date,Gender,team,Peak Braking Velocity,Peak Propulsive Power,Avg. Braking Power,Peak Braking Force,Avg. Braking Velocity,gender_binary,sport_name,field_court_binary
q1LPWAkbwFYbYndeMBxu,12/27/2023,Women,Women's Basketball,-1.131,3445.6,-966.1112,2157.0,-0.7365,1.0,Basketball,0.0
fCOuIfW76snYlM6ux7N9,11/27/2023,Women,Women's Basketball,-0.9361,3598.14,-784.2389,2163.0,-0.6278,1.0,Basketball,0.0
fCOuIfW76snYlM6ux7N9,11/27/2023,Women,Women's Basketball,-0.9361,3598.14,-784.2389,2163.0,-0.6278,1.0,Basketball,0.0
JCpIKJSDawoyKcG3a4sf,10/2/2023,Women,Women's Basketball,-1.1406,3185.54,-930.3574,1976.0,-0.746,1.0,Basketball,0.0
JCpIKJSDawoyKcG3a4sf,10/2/2023,Women,Women's Basketball,-1.1406,3185.54,-930.3574,1976.0,-0.746,1.0,Basketball,0.0
FVeAbWcdXGSQETKQJvtx,1/1/2024,Women,Women's Basketball,-1.1952,3476.709,-1104.589,2230.0,-0.7579,1.0,Basketball,0.0
FVeAbWcdXGSQETKQJvtx,1/1/2024,Women,Women's Basketball,-1.1952,3476.709,-1104.589,2230.0,-0.7579,1.0,Basketball,0.0
coSnmDczHfM5qHwsIrW6,1/1/2024,Women,Women's Basketball,-1.0756,3509.984,-871.0574,1986.0,-0.6851,1.0,Basketball,0.0
coSnmDczHfM5qHwsIrW6,1/1/2024,Women,Women's Basketball,-1.0756,3509.984,-871.0574,1986.0,-0.6851,1.0,Basketball,0.0
E0MsnPzSz0s0ixVOxMyx,11/16/2023,Women,Women's Basketball,-1.2211,3836.588,-1159.122,2452.0,-0.7831,1.0,Basketball,0.0
E0MsnPzSz0s0ixVOxMyx,11/16/2023,Women,Women's Basketball,-1.2211,3836.588,-1159.122,2452.0,-0.7831,1.0,Basketball,0.0
jQnOLDBR25JQblD0Pyxo,12/4/2023,Women,Women's Basketball,-1.0784,3739.898,-941.9675,2362.0,-0.7296,1.0,Basketball,0.0
jQnOLDBR25JQblD0Pyxo,12/4/2023,Women,Women's Basketball,-1.0784,3739.898,-941.9675,2362.0,-0.7296,1.0,Basketball,0.0
H7JundSePKfq8Xkm242r,12/4/2023,Women,Women's Basketball,-1.1539,3757.303,-1093.218,2414.0,-0.7635,1.0,Basketball,0.0
H7JundSePKfq8Xkm242r,12/4/2023,Women,Women's Basketball,-1.1539,3757.303,-1093.218,2414.0,-0.7635,1.0,Basketball,0.0
a7S0s6oOer09fVUVEj7i,1/8/2024,Women,Women's Basketball,-1.2125,3336.731,-1088.772,2199.0,-0.7685,1.0,Basketball,0.0
a7S0s6oOer09fVUVEj7i,1/8/2024,Women,Women's Basketball,-1.2125,3336.731,-1088.772,2199.0,-0.7685,1.0,Basketball,0.0
8PZ7lfeT842HTaxb5VJp,10/30/2023,Women,Women's Basketball,-1.2089,3552.161,-1103.418,2224.0,-0.792,1.0,Basketball,0.0
8PZ7lfeT842HTaxb5VJp,10/30/2023,Women,Women's Basketball,-1.2089,3552.161,-1103.418,2224.0,-0.792,1.0,Basketball,0.0
9zqJQzDzvGrqtLmEluv2,1/4/2024,Women,Women's Basketball,-1.224,3488.89,-1149.968,2273.0,-0.7714,1.0,Basketball,0.0
9zqJQzDzvGrqtLmEluv2,1/4/2024,Women,Women's Basketball,-1.224,3488.89,-1149.968,2273.0,-0.7714,1.0,Basketball,0.0
aMZGlkxTo9i4FEQdwiSS,12/11/2023,Women,Women's Basketball,-1.1414,3653.046,-1004.606,2200.0,-0.7514,1.0,Basketball,0.0
aMZGlkxTo9i4FEQdwiSS,12/11/2023,Women,Women's Basketball,-1.1414,3653.046,-1004.606,2200.0,-0.7514,1.0,Basketball,0.0
cz4ik3Dc2UeGYeuQKxgH,10/23/2023,Women,Women's Basketball,-1.1163,3566.642,-976.548,2238.0,-0.7475,1.0,Basketball,0.0
cz4ik3Dc2UeGYeuQKxgH,10/23/2023,Women,Women's Basketball,-1.1163,3566.642,-976.548,2238.0,-0.7475,1.0,Basketball,0.0
q95pXYBhgQ8RlNiF3SeE,2/12/2024,Women,Women's Basketball,-1.1848,3480.207,-999.2324,2052.0,-0.7655,1.0,Basketball,0.0
q95pXYBhgQ8RlNiF3SeE,2/12/2024,Women,Women's Basketball,-1.1848,3480.207,-999.2324,2052.0,-0.7655,1.0,Basketball,0.0
jODdZyTVbRxL7Xk3yBDP,10/16/2023,Women,Women's Basketball,-1.071,3339.992,-909.5096,2117.0,-0.721,1.0,Basketball,0.0
jODdZyTVbRxL7Xk3yBDP,10/16/2023,Women,Women's Basketball,-1.071,3339.992,-909.5096,2117.0,-0.721,1.0,Basketball,0.0
6Q6nOspgnSa3jYkyzQTf,9/11/2023,Women,Women's Basketball,-0.9609,3137.449,-712.2334,1883.0,-0.6652,1.0,Basketball,0.0
6Q6nOspgnSa3jYkyzQTf,9/11/2023,Women,Women's Basketball,-0.9609,3137.449,-712.2334,1883.0,-0.6652,1.0,Basketball,0.0
RLW9JkhJrSWJl8Vz1Cve,1/11/2024,Women,Women's Basketball,-1.1901,3344.822,-1011.781,2042.0,-0.7571,1.0,Basketball,0.0
RLW9JkhJrSWJl8Vz1Cve,1/11/2024,Women,Women's Basketball,-1.1901,3344.822,-1011.781,2042.0,-0.7571,1.0,Basketball,0.0
RmuRteSgL5z2LbxPQ3uH,11/6/2023,Women,Women's Basketball,-1.0712,3688.647,-974.0028,2354.0,-0.7185,1.0,Basketball,0.0
RmuRteSgL5z2LbxPQ3uH,11/6/2023,Women,Women's Basketball,-1.0712,3688.647,-974.0028,2354.0,-0.7185,1.0,Basketball,0.0
MtyHLl3xNw0xb9RNi4Ia,10/30/2023,Women,Women's Basketball,-1.2246,3447.559,-1113.211,2197.0,-0.7911,1.0,Basketball,0.0
MtyHLl3xNw0xb9RNi4Ia,10/30/2023,Women,Women's Basketball,-1.2246,3447.559,-1113.211,2197.0,-0.7911,1.0,Basketball,0.0
YPlA1d7S9OHioGCBWy3o,11/16/2023,Women,Women's Basketball,-1.1967,3791.515,-1148.24,2409.0,-0.7788,1.0,Basketball,0.0
