TestId,Date,Time,mRSI,injury_log
gtNrLkvYs9Ftw9GmauLi,01-15-2024,15:29:22,0.7955,1
xc6XPAkqFHxCSVlxOtmf,04-23-2024,15:31:40,0.6828,1
ebaDpAkslWqH0DEmEAVK,02-08-2024,15:31:17,0.6999,1
ln01Mncp7yKAcKsLlffg,02-08-2024,15:31:10,0.6804,1
lob7vCCPmitumm7s36lm,05-08-2024,15:27:11,0.674,1
0DdoOpTDfnZjrAtp2ajl,01-30-2024,15:25:13,0.7773,1
N2EIIrHMT7iNzQXAQoGa,05-22-2024,9:55:26,0.6358,1
FKOSqJybNbXqzVkjV4Hj,02-07-2024,13:58:51,0.6628,1
bC6iDpza81dnRw3hy1tz,05-22-2024,9:55:36,0.6412,1
IJ6J7RmEDpL6Fnkh4Sly,03-14-2024,12:29:15,0.6889,1
ZI9Sm6dQ9MWVaDs9WWE5,03-28-2024,15:23:57,0.7021,1
fjhIJAawzOlg5qTz63nm,05-03-2024,13:56:26,0.678,1
AyAEKCCxACWR01658F2s,01-30-2024,15:25:06,0.7587,1
VuYV2KQsZo34zg6QyfvX,04-11-2024,15:23:22,0.6853,1
L0QBQ8le4Wyp6if9O6yc,05-01-2024,11:59:03,0.6565,1
57K8EyEVahv0tBlraSMs,05-15-2024,9:58:28,0.7096,1
pUoUU6UYZOLmwY7kVPmj,02-01-2024,15:32:41,0.6417,1
bdC9Ce2mObyN1cpeP1PY,01-16-2024,15:23:32,0.5964,1
rjuzBNCOyVzyBEdycD0M,02-07-2024,13:58:41,0.6573,1
JQgrb9QJc71djF29f4JC,01-18-2024,15:24:45,0.6482,1
uWaixvl3q9mrQ9IMgoit,04-16-2024,15:23:24,0.726,1
NoQzw9p7vg9DVz4ffW02,04-26-2024,15:09:17,0.6719,1
TlCt6EXIbCvyxsI0dAP3,01-23-2024,15:26:26,0.7552,1
Gkov26vPvsMZGIUKdrLb,05-13-2024,13:12:48,0.6888,1
1EDheWXy18g9MxE3Zlhu,02-07-2024,13:59:02,0.6731,1
BoqsSWHRmqNRJPzdYUb3,04-23-2024,15:31:29,0.6416,1
I6n6etuyrNdSKRajuYsP,02-08-2024,15:31:03,0.7128,1
Uluh3rnIq6hJTuD8H2of,01-15-2024,15:29:16,0.7654,1
rwzosfKHkWkta1waPibZ,03-06-2024,15:35:03,0.7196,1
